TRIMESTRES;"TIPI  TOTAL

";"TIPI RESTO DE ESPAÑA

";"TIPI Resto Del Mundo

";NT alto total;NT alto Resto de España;NT alto Resto del Mundo;NT medio-alto total;NT medio-alto Resto de España;NT medio-alto Resto del Mundo;NT medio-bajo total;NT medio-bajo Resto de España;NT medio-bajo Resto del Mundo;NT bajo total;NT bajo Resto de España;NT bajo Resto del Mundo
AÑO: 2016 (p);14114204,30;10991480,00;3122724,30;1912056,90;1586569,00;325487,90;4272878,50;3333188,80;939689,70;3200093,00;2396973,40;803119,60;4729175,80;3674748,80;1054427,10
2016 Cuarto trimestre (p);3960861,30;2963661,50;997199,70;625552,60;451778,50;173774,10;1210199,30;948429,40;261769,90;835105,60;554595,80;280509,80;1290003,80;1008857,90;281145,90
2016 Tercer trimestre (p);3396046,90;2651044,50;745002,40;411757,90;343848,20;67909,70;1027676,00;805894,10;221782,00;745778,80;553108,10;192670,70;1210834,20;948194,10;262640,10
2016 Segundo trimestre (p);3414388,20;2690190,10;724198,10;478627,10;430059,20;48568,00;1099326,70;827828,60;271498,10;762065,80;603839,80;158226,10;1074368,50;828462,50;245906,00
2016 Primer trimestre (p);3342907,90;2686583,80;656324,10;396119,30;360883,20;35236,10;935676,40;751036,70;184639,70;857142,80;685429,70;171713,10;1153969,40;889234,30;264735,10
AÑO: 2015;13606204,90;10896254,80;2709950,10;1720683,00;1511267,90;209415,00;3696121,40;2916031,50;780089,80;3753818,30;3046924,20;706894,10;4435582,20;3422031,10;1013551,10
2015 Cuarto trimestre;3635696,30;2922604,60;713091,80;522270,80;442346,10;79924,70;1057061,10;845025,80;212035,30;846729,80;688004,90;158724,80;1209634,70;947227,70;262407,00
2015 Tercer trimestre;3274278,40;2609842,00;664436,40;377029,70;343660,60;33369,20;912516,10;709514,60;203001,50;871506,20;699873,30;171632,90;1113226,30;856793,50;256432,80
2015 Segundo trimestre;3379903,70;2656808,20;723095,60;402248,50;351349,20;50899,30;915482,50;717308,40;198174,00;1036302,80;807548,00;228754,80;1025869,90;780602,60;245267,40
2015 Primer trimestre;3316326,50;2707000,10;609326,40;419133,90;373912,10;45221,90;811061,70;644182,70;166879,00;999279,50;851498,00;147781,50;1086851,30;837407,30;249444,00
AÑO: 2014;13000441,00;9928019,70;3072421,30;1601988,20;1427217,80;174770,40;3246278,90;2562627,20;683651,60;3866685,50;2668203,20;1198482,30;4285488,40;3269971,40;1015517,00
2014 Cuarto trimestre;3591582,50;2853447,10;738135,40;458540,60;406733,00;51807,50;926430,20;741081,40;185348,80;1050849,40;807581,50;243267,90;1155762,30;898051,10;257711,20
2014 Tercer trimestre;3184616,60;2382469,10;802147,50;400561,00;361753,90;38807,10;779032,10;615631,60;163400,40;928760,40;589794,80;338965,70;1076263,10;815288,80;260974,30
2014 Segundo trimestre;3113667,70;2403269,80;710397,90;367752,80;324945,50;42807,30;803212,40;623496,10;179716,30;950318,30;706724,00;243594,30;992384,20;748104,20;244280,00
2014 Primer trimestre;3110574,20;2288833,70;821740,50;375133,80;333785,40;41348,50;737604,20;582418,10;155186,10;936757,40;564102,90;372654,50;1061078,80;808527,30;252551,50
AÑO: 2013;11596675,30;8806790,10;2789885,20;1503958,50;1335923,00;168035,50;2773558,60;2259500,70;514058,00;3332011,10;2155700,50;1176310,60;3987147,10;3055665,90;931481,10
2013 Cuarto trimestre;3433175,00;2569043,70;864131,30;427125,60;379595,80;47529,90;789973,80;648340,00;141633,90;1116160,20;684315,40;431844,80;1099915,40;856792,60;243122,80
2013 Tercer trimestre;2838234,90;2176382,10;661852,70;350815,90;305794,10;45021,80;672016,40;541596,70;130419,70;801655,00;555249,00;246406,00;1013747,60;773742,30;240005,30
2013 Segundo trimestre;2651664,90;2081184,10;570480,90;389010,00;346760,40;42249,60;659078,90;544969,80;114109,10;667854,10;490881,20;176973,00;935721,90;698572,70;237149,20
2013 Primer trimestre;2673600,50;1980180,20;693420,30;337006,90;303772,70;33234,20;652489,60;524594,20;127895,30;746341,80;425254,90;321086,90;937762,20;726558,30;211203,90
AÑO: 2012;11002797,50;8266577,10;2736220,40;1456274,00;1297829,90;158444,10;2693470,60;2161092,70;532377,90;2889624,80;1786530,70;1103094,10;3963428,10;3021123,80;942304,40
2012 Cuarto trimestre;2970960,40;2262734,20;708226,20;398420,60;355853,80;42566,80;715018,30;583306,00;131712,30;793074,40;495095,90;297978,60;1064447,10;828478,60;235968,50
2012 Tercer trimestre;2398426,80;1800699,50;597727,30;300490,60;268890,30;31600,20;599643,10;469094,60;130548,50;540835,40;330125,80;210709,70;957457,70;732588,70;224868,90
2012 Segundo trimestre;2692869,50;2049536,30;643333,20;360365,50;317156,20;43209,30;674917,00;541761,20;133155,80;739473,10;502680,30;236792,70;918113,90;687938,60;230175,30
2012 Primer trimestre;2940540,80;2153607,10;786933,70;396997,40;355929,60;41067,80;703892,20;566930,90;136961,30;816241,80;458628,70;357613,10;1023409,50;772117,90;251291,60
AÑO: 2011;12127225,00;8891353,80;3235871,20;1594524,70;1423567,10;170957,70;3017849,30;2401355,80;616493,50;3425531,50;1997515,10;1428016,40;4089319,40;3068915,80;1020403,60
2011 Cuarto trimestre;3112299,00;2158404,10;953894,90;409671,10;366649,60;43021,50;793014,60;634617,60;158397,00;797529,60;314448,30;483081,30;1112083,60;842688,50;269395,10
2011 Tercer trimestre;2921653,20;2124740,70;796912,40;370781,10;330089,30;40691,80;721436,30;574913,60;146522,70;818915,20;456792,80;362122,40;1010520,60;762945,00;247575,60
2011 Segundo trimestre;3002938,70;2259473,60;743465,00;396987,80;359880,10;37107,60;751587,60;593211,60;158376,10;907800,90;612140,60;295660,40;946562,30;694241,40;252321,00
2011 Primer trimestre;3090334,20;2348735,40;741598,80;417084,80;366948,10;50136,70;751810,70;598613,00;153197,80;901285,80;614133,40;287152,40;1020152,90;769040,90;251112,00
